int,int,int,int,int,int,int,int
1,0,1,1,2,1,0,0
1,0,2,1,2,1,0,0
1,0,3,2,1,2,0,0
1,0,4,2,2,2,0,0
1,0,5,1,2,2,0,0
1,0,6,2,2,1,0,0
1,0,7,1,2,1,0,0
3,0,0,2,2,2,0,0
6,0,0,0,0,0,0,0
6,0,1,2,2,2,0,0
6,0,2,3,3,3,0,0
3,0,1,3,3,3,0,0
3,0,2,4,4,4,0,0
3,0,3,5,5,5,0,0
3,0,4,6,6,6,0,0
4,0,0,1,1,1,0,2
4,0,1,2,2,2,0,2
4,0,2,3,3,3,0,2
4,0,3,4,4,4,0,2
4,0,4,5,5,5,0,2
4,0,5,6,6,2,0,2
2,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0
4,1,0,0,0,0,0,2
6,0,3,4,4,4,0,0
6,0,4,5,5,5,0,0
6,0,5,6,6,6,0,0
1,0,8,1,1,1,0,0
3,0,5,7,7,7,0,0
3,0,6,8,8,8,0,0
3,0,7,9,9,9,0,0
3,0,8,10,10,10,0,0
3,0,9,11,11,11,0,0
3,0,10,12,12,12,0,0
2,0,1,0,0,0,0,0
2,0,2,2,0,0,0,0
2,0,3,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,5,5,0,0,0,0
2,0,6,6,0,0,0,0
2,0,7,7,0,0,0,0
2,0,8,8,0,0,0,0
2,0,9,9,0,0,0,0
2,0,10,10,0,0,0,0
4,1,1,0,0,0,0,2
4,1,2,0,0,0,0,2
4,1,3,0,0,0,0,2
4,1,4,0,0,0,0,2
4,1,5,0,0,0,0,2
4,1,6,0,0,0,0,2
4,1,7,0,0,0,0,2
4,1,8,0,0,0,0,2
4,1,9,0,0,0,0,2
6,0,6,7,7,7,0,0
7,0,0,0,0,0,0,0
8,0,2,0,4,0,0,0
7,0,1,2,0,0,0,0
7,0,2,3,0,0,0,0
7,0,3,4,0,0,0,0
7,0,4,5,0,0,0,0
7,0,5,6,0,0,0,0
7,0,6,7,0,0,0,0
7,0,7,8,0,0,0,0
7,1,0,0,0,0,0,0
1,0,0,1,1,1,0,0
5,1,2,0,0,0,0,0
5,1,5,0,0,0,0,0
1,1,0,0,0,0,0,0
8,1,0,0,2,0,0,0
8,1,1,0,3,0,0,0
8,1,2,0,4,0,0,0
8,1,3,0,5,0,0,0
8,1,4,0,6,0,0,0
2,1,0,0,0,0,0,0
5,1,0,0,0,0,0,2
5,1,1,0,0,0,0,2
5,1,3,0,0,0,0,2
5,1,4,0,0,0,0,2
5,1,6,0,0,0,0,2
5,1,7,0,0,0,0,2
5,0,0,2,0,0,0,2
5,0,1,2,0,0,0,2
5,0,2,2,0,0,0,0
5,0,3,3,0,0,0,0
5,0,4,4,0,0,0,0
5,0,5,2,0,0,0,2
5,0,6,3,0,0,0,2
5,0,7,4,0,0,0,2
5,0,8,2,0,0,0,2
5,0,9,3,0,0,0,2
5,0,10,2,0,0,0,0
5,0,11,3,0,0,0,0
5,0,12,2,0,0,0,2
5,0,13,3,0,0,0,2
5,0,14,2,0,0,0,2
5,0,15,3,0,0,0,2
5,0,16,4,0,0,0,2
1,1,1,0,2,0,0,0
1,1,2,0,3,0,0,0
1,1,3,0,4,0,0,0
1,1,4,0,5,0,0,0
1,1,5,0,6,0,0,0
1,1,6,0,7,0,0,0
2,1,1,0,2,0,0,0
2,1,2,0,3,0,0,0
2,1,3,0,4,0,0,0
2,1,4,0,5,0,0,0
2,1,5,0,6,0,0,0
2,1,6,0,7,0,0,0
6,1,0,0,0,0,0,0
6,1,1,0,0,2,0,0
6,1,2,0,0,3,0,0
6,1,3,0,0,4,0,0
8,0,1,0,3,0,0,0
18,0,3,0,5,0,0,0
8,0,4,0,6,0,0,0
8,0,0,0,2,0,0,0
3,1,1,0,2,0,0,0
3,1,2,0,3,0,0,0
3,1,3,0,4,0,0,0
