int,string,int,int,int,int,int,int,int,int,int,int,float,float,float,float,float,float,int
1,"World\Generic\ActiveDoodads\Chest02\Chest02.mdx",0,1277,0,0,0,0,0,0,0,0,-0.260733,-0.451229,0.007418,0.260617,0.449360,0.686414,0
2,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterStuck01.mdx",0,0,0,0,0,0,0,0,0,0,-0.325455,-0.337294,0.001487,0.350791,0.310531,0.990646,0
3,"World\Azeroth\Stranglethorn\Buildings\TrollWatchTower\TrollWatchTower.mdx",0,0,0,0,0,0,0,0,0,0,-5.358705,-6.206873,-0.018554,7.331823,6.693991,14.530234,0
4,"World\Generic\Human\Passive Doodads\Wardrobe\DuskwoodWardrobe02.mdx",0,0,0,0,0,0,0,0,0,0,-0.319810,-0.986400,0.004530,1.094419,0.993903,2.802941,0
5,"World\Generic\Troll\Passive Doodads\TrollTablets\TrollTablet.mdx",0,0,0,0,0,0,0,0,0,0,-0.765516,-1.652674,-0.301773,0.052263,1.628192,4.432925,0
6,"World\Azeroth\Elwynn\PassiveDoodads\Statue\LionStatue.mdx",0,0,0,0,0,0,0,0,0,0,-3.311697,-3.937093,-1.000119,3.205447,4.167764,11.943044,0
7,"World\Azeroth\Elwynn\PassiveDoodads\jugs\jug02.mdx",0,0,0,0,0,0,0,0,0,0,-0.266556,-0.264553,0.002714,0.256744,0.268632,0.650797,0
8,"World\Generic\Human\Passive Doodads\Footlockers\DuskwoodFootLocker01.mdx",0,0,0,0,0,0,0,0,0,0,-0.305242,-0.698802,-0.005984,0.303308,0.690087,0.467640,0
9,"World\Generic\PassiveDoodads\Barrel\BrokenBarrel02.mdx",0,0,0,0,0,0,0,0,0,0,-1.234735,-0.580024,-0.035215,0.428833,0.815669,1.018483,0
10,"World\Generic\ActiveDoodads\Chest01\Chest01.mdx",0,1277,0,1278,0,0,0,0,0,0,-0.393670,-0.590816,0.012198,0.393554,0.588955,0.630732,0
11,"World\Generic\Human\Passive Doodads\Sarcophagi\Sarcophagus.mdx",0,0,0,0,0,0,0,0,0,0,-1.632770,-0.547135,-0.216284,1.469702,0.568490,1.012251,0
12,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\WoodCross02.mdx",0,0,0,0,0,0,0,0,0,0,-0.111867,-0.353790,-0.298858,0.119604,0.386132,2.008659,0
13,"WORLD\GENERIC\HUMAN\ACTIVEDOODADS\DOORS\FARMDOOR01TEST.MDX",0,0,0,0,0,0,0,0,0,0,-2.816260,-0.418783,-1.708820,0.041067,0.418783,1.708820,0
14,"World\Generic\Human\Passive Doodads\Meat\BloodyMeat01.mdx",0,0,0,0,0,0,0,0,0,0,-1.186601,-1.109813,-0.348854,0.806619,0.931032,1.182612,0
15,"WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDX",0,0,0,0,0,0,0,0,0,0,-0.106445,-0.680752,0.802495,0.225400,0.704943,2.806001,0
17,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterFramed01.mdx",0,0,0,0,0,0,0,0,0,0,-0.214216,-0.506724,-1.652187,0.116202,0.522480,2.497427,0
18,"World\Azeroth\Westfall\PassiveDoodads\Crate\WestFallCrate.mdx",0,0,0,0,0,0,0,0,0,0,-0.428923,-0.763771,0.003345,0.428923,0.764006,0.503345,0
19,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\TombStone07.mdx",0,0,0,0,0,0,0,0,0,0,-0.219444,-0.508333,-0.147632,0.219444,0.508333,1.426113,0
20,"World\Azeroth\Duskwood\PassiveDoodads\Tombs\DirtMound01.mdx",0,0,0,0,0,0,0,0,0,0,-1.692881,-1.063639,-0.010465,1.692881,1.004258,0.666919,0
21,"World\Generic\Orc\Passive Doodads\Jars\JarOrc02.mdx",0,0,0,0,0,0,0,0,0,0,-0.207902,-0.244864,0.000000,0.207059,0.234292,0.550984,0
22,"World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerWorn01.mdx",0,0,0,0,0,0,0,0,0,0,0.417629,-0.984875,2.660958,0.650702,1.292585,3.518984,0
25,"World\Generic\PassiveDoodads\BindStone\NewBindStone.mdx",0,0,0,0,0,0,0,0,0,0,-2.030113,-3.055414,-0.239334,2.592509,3.023229,9.040523,0
26,"World\Generic\Human\Passive Doodads\SignPosts\WoodSignPointerNice01.mdx",0,0,0,0,0,0,0,0,0,0,-0.090289,-0.807625,3.463157,0.090290,0.864858,3.907382,0
27,"World\Generic\Human\Passive Doodads\SignPosts\StoneSignPointer01.mdx",0,0,0,0,0,0,0,0,0,0,-0.166120,-0.846560,2.846081,0.166117,1.409833,3.906655,0
28,"World\Generic\ActiveDoodads\Bushes\BerryBush01.mdx",0,0,0,0,0,0,0,0,0,0,-1.427991,-1.991418,-0.556910,1.436570,1.539283,2.262655,0
30,"World\Generic\Human\Passive Doodads\GunShop\GunShopPowderKegOpen.mdx",0,0,0,0,0,0,0,0,0,0,-0.355893,-0.347724,-0.000389,0.355385,0.369838,1.091050,0
31,"World\Generic\Human\Passive Doodads\Crates\StormwindCrate01.mdx",0,0,0,0,0,0,0,0,0,0,-0.636226,-0.693032,0.002947,0.630680,0.659836,1.243901,0
32,"World\Generic\PassiveDoodads\Barrel\Barrel01.mdx",0,0,0,0,0,0,0,0,0,0,-0.430319,-0.467806,-0.001256,0.428833,0.524257,0.992064,0
33,"World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKeg01.mdx",0,0,0,0,0,0,0,0,0,0,-0.308737,-0.360661,-0.001209,0.309601,0.353334,0.967672,0
36,"World\Generic\Human\Passive Doodads\CargoBoxes\DeadMineCargoBoxes.mdx",0,0,0,0,0,0,0,0,0,0,-1.278243,-1.143335,-0.021490,1.294208,1.119530,1.759557,0
39,"World\Generic\Human\Passive Doodads\Chairs\GeneralChairLoEnd01.mdx",0,0,0,0,0,0,0,0,0,0,-0.998546,-0.553206,-0.006989,0.178930,0.553206,1.327819,0
41,"World\Generic\ActiveDoodads\Chest03\Chest03.mdx",0,1277,0,0,0,0,0,0,0,0,-0.394601,-0.590637,0.005024,0.393600,0.589135,0.623557,0
42,"World\Generic\PassiveDoodads\ParticleEmitters\Bubbles01.mdx",0,0,0,0,0,0,0,0,0,0,-0.049065,-0.026798,-0.121093,0.047085,0.056471,-0.061791,0
43,"World\Generic\Human\Passive Doodads\BookStacks\GeneralBookStackTall01.mdx",0,0,0,0,0,0,0,0,0,0,-0.534225,-0.234990,0.000000,0.261265,0.616831,0.720778,0
45,"World\Generic\PassiveDoodads\ParticleEmitters\Blacksmith_smoke.mdx",0,0,0,0,0,0,0,0,0,0,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,0
47,"World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowRoot03.mdx",0,0,0,0,0,0,0,0,0,0,-1.292971,-1.178714,-0.609380,1.292971,1.807275,3.799574,0
48,"World\Generic\ActiveDoodads\Rocks\GemRock01.mdx",0,0,0,0,0,0,0,0,0,0,-2.012936,-2.029193,-2.339579,1.019300,2.058547,3.609710,0
