int,int,int,int,float,int,int,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,float,float,int
1,0,0,119,0.000000,0,11,42,8,0,0,"Dun Morogh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.300000,0
2,0,40,120,2.000015,0,11,0,9,0,0,"Longshore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
3,0,0,121,0.000000,0,11,25,7,0,0,"Badlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.100000,0
4,0,0,122,0.000000,0,11,210,7,0,0,"Blasted Lands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
7,0,33,123,2.000015,0,11,0,3,0,0,"Blackwater Cove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
8,0,0,124,0.000000,0,11,33,223,0,0,"Swamp of Sorrows",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
9,0,12,125,2.750000,0,11,35,1,0,0,"Northshire Valley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
10,0,0,617,0.000000,0,11,40,2,0,0,"Duskwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
11,0,0,618,0.000000,0,11,44,227,0,0,"Wetlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
12,0,0,126,0.000000,0,11,35,1,0,0,"Elwynn Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.000000,0
13,0,10,555,2.000015,0,11,48,11,0,0,"The World Tree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
14,1,0,127,0.000000,0,11,25,9,0,0,"Durotar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,4,0,0,0,0,-500.000000,0.400000,0
15,1,0,128,0.000000,0,11,33,227,0,0,"Dustwallow Marsh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.400000,0
16,1,0,129,0.000000,0,11,31,205,0,0,"Azshara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
17,1,0,130,0.000000,0,11,38,7,0,0,"The Barrens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,4,0,0,0,0,-500.000000,0.300000,0
18,0,12,131,2.000015,0,11,35,1,0,7,"Crystal Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
19,0,33,574,2.000015,0,11,32,3,0,40,"Zul'Gurub",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
20,0,40,132,2.000015,0,11,0,9,0,14,"Moonbrook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
21,0,0,133,0.000000,0,11,0,8,0,0,"Kul Tiras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
22,451,0,547,0.000000,0,11,38,2,0,0,"Programmer Isle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,1,0,0,0,-500.000000,0.000000,0
23,0,12,134,2.250015,0,11,35,0,0,0,"Northshire River",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
24,0,12,135,2.750000,73,11,35,1,67,0,"Northshire Abbey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
25,0,0,136,0.000000,0,11,46,10,0,0,"Blackrock Mountain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
26,0,40,602,2.000015,0,11,0,7,0,0,"Lighthouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
28,0,0,137,0.000000,0,11,37,205,0,0,"Western Plaguelands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
30,0,0,138,0.000000,0,11,0,0,0,0,"Nine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
32,0,10,139,2.000015,0,11,0,2,0,0,"The Cemetary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
33,0,0,140,0.000000,0,11,32,3,0,0,"Stranglethorn Vale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
34,0,12,141,2.000000,0,11,35,1,0,0,"Echo Ridge Mine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
35,0,33,142,2.500015,0,11,0,3,0,42,"Booty Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
36,0,0,143,0.000000,0,11,31,1,0,0,"Alterac Mountains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.500000,0
37,0,33,144,2.000015,0,11,0,3,0,36,"Lake Nazferiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
38,0,0,145,0.000000,0,11,31,1,0,0,"Loch Modan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.100000,0
40,0,0,146,0.000000,0,11,47,9,0,0,"Westfall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.100000,0
41,0,0,556,0.000000,0,11,49,2,0,0,"Deadwind Pass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.300000,0
42,0,10,147,2.500015,0,11,0,2,0,25,"Darkshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
43,0,33,148,2.000015,0,11,0,3,0,42,"Wild Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
44,0,0,149,0.000000,0,11,31,1,0,0,"Redridge Mountains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.200000,0
45,0,0,150,0.000000,0,11,30,8,0,0,"Arathi Highlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.200000,0
46,0,0,151,0.000000,0,11,46,10,0,0,"Burning Steppes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.100000,0
47,0,0,152,0.000000,0,11,31,1,0,0,"The Hinterlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.400000,0
49,451,22,153,2.000015,0,11,0,0,0,0,"Dead Man's Hole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
51,0,0,154,0.000000,0,11,46,10,0,0,"Searing Gorge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.100000,0
53,0,12,155,2.000015,0,11,35,1,0,0,"Thieves Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
54,0,12,550,2.000015,0,11,35,1,0,8,"Jasperlode Mine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
55,0,12,156,2.000015,0,11,35,13,61,0,"Valley of Heroes UNUSED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
56,0,12,157,2.000015,0,11,35,1,303,0,"Heroes' Vigil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
57,0,12,158,2.000015,0,11,35,1,0,5,"Fargodeep Mine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
59,0,12,159,2.250000,0,11,35,1,0,0,"Northshire Refugee Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
60,0,12,606,2.000015,0,11,35,1,0,8,"Forest's Edge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
61,0,12,160,2.000015,0,11,35,1,0,0,"Thunder Falls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
62,0,12,161,2.000015,0,11,35,1,0,8,"Brackwell Pumpkin Patch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
63,0,12,162,2.000015,0,11,35,1,0,6,"The Stonefield Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
64,0,12,163,2.000015,0,11,35,1,0,6,"The Maclure Vineyards",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
65,571,0,164,0.000000,0,11,439,412,545,0,"Dragonblight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
66,571,0,165,0.000000,0,11,441,423,544,76,"Zul'Drak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
67,571,0,166,0.000000,0,11,465,420,0,77,"The Storm Peaks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.600000,0
68,0,44,557,2.000015,0,11,0,1,0,16,"Lake Everstill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
69,0,44,167,2.500015,0,11,0,1,0,15,"Lakeshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
70,0,44,168,2.000015,0,11,0,1,0,24,"Stonewatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
71,0,44,627,2.000015,0,11,0,1,0,20,"Stonewatch Falls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
72,0,4,169,2.000015,0,11,210,7,0,63,"The Dark Portal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
73,0,4,170,2.000015,0,11,0,7,0,50,"The Tainted Scar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
74,0,8,171,2.000015,0,11,0,0,0,43,"Pool of Tears",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
75,0,8,172,2.500015,0,11,0,0,0,37,"Stonard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
76,0,8,173,2.000015,0,11,0,0,0,37,"Fallow Sanctuary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
77,0,1,174,2.750000,0,11,0,8,0,0,"Anvilmar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
80,0,12,175,2.000015,0,11,35,17,0,10,"Stormwind Mountains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,2,0,0,0,0,-500.000000,0.000000,0
81,451,22,575,2.000015,0,11,0,0,0,0,"Jeff NE Quadrant Changed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
82,451,22,176,2.000015,0,11,0,0,0,0,"Jeff NW Quadrant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
83,451,22,177,2.000015,0,11,0,0,0,0,"Jeff SE Quadrant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
84,451,22,178,2.000015,0,11,0,0,0,0,"Jeff SW Quadrant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
85,0,0,179,0.000000,0,11,40,2,0,0,"Tirisfal Glades",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,4,0,0,0,0,-500.000000,0.300000,0
86,0,12,180,2.000015,0,11,35,1,0,8,"Stone Cairn Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
87,0,12,548,2.750015,0,11,35,1,0,5,"Goldshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
88,0,12,181,2.000015,0,11,35,1,0,6,"Eastvale Logging Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
89,0,12,182,2.000015,0,11,35,1,0,0,"Mirror Lake Orchard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
91,0,12,183,2.000015,0,11,35,1,0,8,"Tower of Azora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
92,0,12,558,2.000015,0,11,35,1,0,0,"Mirror Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
93,0,10,628,2.000015,0,11,0,214,0,28,"Vul'Gol Ogre Mound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
94,0,10,184,2.000015,0,11,0,2,0,24,"Raven Hill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
95,0,44,185,2.000015,0,11,0,1,0,20,"Redridge Canyons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
96,0,44,186,2.000015,0,11,0,1,0,25,"Tower of Ilgalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
97,0,44,187,2.000015,0,11,0,1,0,19,"Alther's Mill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
98,0,44,188,2.000015,0,11,0,1,0,17,"Rethban Caverns",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
99,0,33,189,2.500015,0,11,0,3,0,30,"Rebel Camp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
100,0,33,585,2.000015,0,11,0,3,0,31,"Nesingwary's Expedition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
101,0,33,190,2.000015,0,11,0,3,0,32,"Kurzen's Compound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
102,0,33,586,2.000015,0,11,0,3,0,41,"Ruins of Zul'Kunda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
103,0,33,191,2.000015,0,11,0,3,0,40,"Ruins of Zul'Mamwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
104,0,33,192,2.000015,0,11,0,3,0,37,"The Vile Reef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
105,0,33,193,2.000015,0,11,0,3,0,42,"Mosh'Ogg Ogre Mound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
106,0,33,194,2.000015,0,11,0,3,0,0,"The Stockpile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
107,0,40,195,2.000015,0,11,0,9,0,14,"Saldean's Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
108,0,40,196,2.750015,0,11,0,9,0,15,"Sentinel Hill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
109,0,40,197,2.000015,0,11,0,9,0,15,"Furlbrow's Pumpkin Farm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712190,0,0,0,0,0,-500.000000,0.000000,0
