int,int,string,int,float,int,int,float,float,float,int,int,int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1,12298,"CREATURE\BASILISK\BASILISK.M2",1,1.000000,1,7,18.000000,12.000000,1.000000,0,0,0,1,0.611112,2.031280,1.822198,-6.074673,-2.917284,-0.335180,2.776131,3.091113,2.070082,1.000000,1.000000,0.000000,0.000000,0.000000
2,2,"CREATURE\BOGBEAST\BOGBEAST.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,2,0.611112,2.031280,1.504953,-0.726862,-2.811783,-0.292400,1.900860,2.781771,2.885096,1.000000,1.000000,0.000000,0.000000,0.000000
3,2,"CREATURE\CENTAUR\CENTAUR.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,3,0.611200,2.031000,1.911771,-1.457067,-0.511171,-0.004721,1.011198,0.528218,2.763926,1.000000,1.000000,0.000000,0.000000,0.000000
4,2,,1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
5,4098,"CREATURE\DARKHOUND\DARKHOUND.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,5,0.611112,2.031280,0.000000,-1.347893,-0.473980,-0.010817,0.819450,0.423427,1.621151,1.000000,1.000000,0.000000,0.000000,0.000000
6,12297,"CREATURE\DRAGONWHELP\DRAGONWHELP.M2",0,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,6,0.611112,2.031280,0.000000,-0.757493,-1.193324,0.991577,0.633700,1.201044,3.190622,1.000000,1.000000,0.000000,0.000000,0.000000
8,0,"CREATURE\FURBOLG\FURBOLG.M2",1,1.000000,1,7,18.000000,12.000000,1.000000,0,0,0,8,0.611200,2.031000,0.000000,-0.586774,-0.951519,-0.000770,1.083751,0.951810,1.968148,1.000000,1.000000,0.000000,0.000000,0.000000
9,4099,"CREATURE\GHOST\GHOST.M2",1,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,9,0.611112,2.031280,0.000000,-1.899858,-1.924722,-0.331675,1.408208,1.522180,3.109601,1.000000,1.000000,0.000000,0.000000,0.000000
10,0,"CREATURE\GNOLL\GNOLL.M2",1,1.000000,1,7,18.000000,12.000000,1.000000,0,0,0,10,0.611200,2.031000,0.891646,-0.777000,-0.700137,0.000479,0.731759,0.764516,1.756200,1.000000,1.000000,0.000000,0.000000,0.000000
11,0,"CREATURE\GRELL\GRELL.M2",0,1.000000,1,4,18.000000,12.000000,1.000000,0,0,0,11,0.611112,2.031280,0.000000,-1.434986,-0.768818,-0.002779,0.697103,0.738989,1.423259,1.000000,1.000000,0.000000,0.000000,0.000000
12,1,"CREATURE\HARPY\HARPY.M2",1,1.000000,1,0,18.000000,12.000000,1.000000,0,0,0,12,0.611112,2.031280,0.000000,-0.560316,-1.667411,0.857127,0.604706,1.697262,4.541226,1.000000,1.000000,0.000000,0.000000,0.000000
13,0,"CREATURE\HUFMCITIZENLOW\HUFMCITIZENLOW.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,13,0.509700,2.031000,0.000000,-0.198980,-0.378926,-0.014416,0.390325,0.322053,1.896097,1.000000,1.000000,0.000000,0.000000,0.000000
14,0,"CREATURE\HUFMCITIZENMID\HUFMCITIZENMID.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,14,0.509700,2.031000,0.000000,-0.230800,-0.378927,-0.014415,0.390320,0.322057,1.883328,1.000000,1.000000,0.000000,0.000000,0.000000
15,0,"CREATURE\HUFMMERCHANT\HUFMMERCHANT.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,15,0.509700,2.031000,0.000000,-0.198984,-0.378927,-0.014415,0.390320,0.322057,1.901672,1.000000,1.000000,0.000000,0.000000,0.000000
16,0,"CREATURE\HUMANTHIEF\HUMANTHIEF.M2",1,1.000000,1,1,18.000000,12.000000,1.000000,0,0,0,16,0.555556,1.889080,1.151695,-0.489041,-0.398861,-0.014148,0.580239,0.315939,1.777872,1.000000,1.000000,0.000000,0.000000,0.000000
